PLAYER,TEAM,MATCH UP,GAME DATE,W/L,MIN,PTS,FGM,FGA,FG%,3 POINT MADE,3 POINT ATTEMPTED,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PLUS/MINUS,FP
LeBron James,LAL,LAL @ DEN,10/24/2023,L,29,21,10,16,62.5,1,4,25,0,1,0,1,7,8,5,1,0,0,1,7,41.1
Stephen Curry,GSW,GSW vs. PHX,10/24/2023,L,31,27,8,20,40,4,14,28.6,7,7,100,1,4,5,1,1,0,2,5,-9,35.5
Kevin Durant,PHX,PHX @ GSW,10/24/2023,W,37,18,7,22,31.8,1,2,50,3,5,60,2,9,11,3,0,1,2,1,0,36.7
Anthony Edwards,MIN,MIN @ TOR,10/25/2023,L,38,26,8,27,29.6,4,7,57.1,6,6,100,5,9,14,1,0,0,2,1,0,42.3
Shai Gilgeous-Alexander,OKC,OKC @ CHI,10/25/2023,W,36,31,12,18,66.7,2,5,40,5,5,100,0,5,5,10,1,2,1,0,19,60
Jayson Tatum,BOS,BOS @ NYK,10/25/2023,W,39,34,13,22,59.1,3,8,37.5,5,6,83.3,0,11,11,4,2,1,4,3,0,58.2
Jalen Brunson,NYK,NYK vs. BOS,10/25/2023,L,33,15,6,21,28.6,3,8,37.5,0,1,0,1,2,3,6,3,0,2,3,-9,34.6
Victor Wembanyama,SAS,SAS vs. DAL,10/25/2023,L,23,15,6,9,66.7,3,5,60,0,1,0,0,5,5,2,2,1,5,5,0,28
Wendell Carter Jr.,ORL,ORL vs. HOU,10/25/2023,W,27,8,4,10,40,0,2,0,0,0,-,4,4,8,1,2,0,2,3,8,23.1
Trae Young,ATL,ATL @ CHA,10/25/2023,L,36,23,4,19,21.1,1,9,11.1,14,15,93.3,0,1,1,9,1,0,5,3,-11,35.7
LeBron James,LAL,LAL vs. PHX,10/26/2023,W,35,21,7,14,50,1,5,20,6,8,75,1,7,8,9,2,2,5,1,22,51.1
Tyrese Maxey,PHI,PHI @ MIL,10/26/2023,L,40,31,10,22,45.5,3,8,37.5,8,10,80,0,4,4,8,2,0,0,3,0,53.8
Giannis Antetokounmpo,MIL,MIL vs. PHI,10/26/2023,W,35,23,10,21,47.6,0,3,0,3,9,33.3,4,8,12,3,2,2,7,4,-13,46.9
Kevin Durant,PHX,PHX @ LAL,10/26/2023,L,39,39,14,28,50,1,5,20,10,13,76.9,0,11,11,2,1,1,8,2,18,53.2
Joel Embiid,PHI,PHI @ MIL,10/26/2023,L,36,24,9,21,42.9,3,7,42.9,3,8,37.5,0,7,7,6,0,1,7,5,-1,37.4
Stephen Curry,GSW,GSW @ SAC,10/27/2023,W,35,41,14,19,73.7,7,10,70,6,6,100,1,3,4,4,2,0,4,0,10,53.8
Shai Gilgeous-Alexander,OKC,OKC @ CLE,10/27/2023,W,36,34,15,26,57.7,2,2,100,2,2,100,1,10,11,4,5,1,5,2,4,66.2
Jayson Tatum,BOS,BOS vs. MIA,10/27/2023,W,41,22,9,22,40.9,3,10,30,1,3,33.3,0,8,8,5,1,0,2,4,13,40.1
Jalen Brunson,NYK,NYK @ ATL,10/27/2023,W,33,31,11,21,52.4,8,12,66.7,1,2,50,0,3,3,5,0,0,2,1,13,40.1
Victor Wembanyama,SAS,SAS vs. HOU,10/27/2023,W,31,21,7,19,36.8,0,6,0,7,8,87.5,5,7,12,1,3,3,4,2,9,50.9
Wendell Carter Jr.,ORL,ORL @ POR,10/27/2023,W,26,8,2,7,28.6,1,3,33.3,3,4,75,2,7,9,1,0,0,2,1,6,18.3
Trae Young,ATL,ATL vs. NYK,10/27/2023,L,35,18,4,16,25,2,5,40,8,10,80,1,2,3,12,3,0,6,2,-5,42.6
Tyrese Maxey,PHI,PHI @ TOR,10/28/2023,W,41,34,12,20,60,7,9,77.8,3,3,100,1,5,6,7,0,1,1,1,10,53.7
Anthony Edwards,MIN,MIN vs. MIA,10/28/2023,W,33,19,7,15,46.7,3,5,60,2,2,100,0,2,2,7,0,0,2,3,21,29.9
Kevin Durant,PHX,PHX vs. UTA,10/28/2023,W,29,26,8,11,72.7,1,4,25,9,9,100,0,4,4,7,1,1,2,1,30,45.3
Jalen Brunson,NYK,NYK @ NOP,10/28/2023,L,31,14,4,14,28.6,1,5,20,5,6,83.3,1,3,4,5,0,0,1,2,-9,25.3
Joel Embiid,PHI,PHI @ TOR,10/28/2023,W,35,34,14,21,66.7,1,3,33.3,5,6,83.3,0,9,9,8,1,2,1,0,-2,64.8
LeBron James,LAL,LAL @ SAC,10/29/2023,L,39,27,11,19,57.9,3,8,37.5,2,6,33.3,0,15,15,8,0,0,8,2,-5,49
Stephen Curry,GSW,GSW @ HOU,10/29/2023,W,31,24,6,16,37.5,6,14,42.9,6,6,100,1,6,7,6,0,1,1,1,-2,43.4
Tyrese Maxey,PHI,PHI vs. POR,10/29/2023,W,35,26,6,14,42.9,4,8,50,10,10,100,1,9,10,4,0,0,2,1,19,42
Giannis Antetokounmpo,MIL,MIL vs. ATL,10/29/2023,L,29,26,9,14,64.3,0,1,0,8,10,80,5,6,11,3,1,2,3,2,-11,49.7
Shai Gilgeous-Alexander,OKC,OKC vs. DEN,10/29/2023,L,28,7,2,16,12.5,0,4,0,3,4,75,1,3,4,7,1,0,0,2,-22,25.3
Victor Wembanyama,SAS,SAS @ LAC,10/29/2023,L,26,11,4,10,40,0,2,0,3,6,50,1,4,5,2,1,1,5,1,-14,21
Joel Embiid,PHI,PHI vs. POR,10/29/2023,W,29,35,12,22,54.5,2,4,50,9,12,75,5,10,15,7,2,6,3,3,28,84.5
Trae Young,ATL,ATL @ MIL,10/29/2023,W,32,20,5,14,35.7,3,8,37.5,7,9,77.8,0,3,3,11,1,0,3,1,13,40.1
LeBron James,LAL,LAL vs. ORL,10/30/2023,W,33,19,7,17,41.2,2,6,33.3,3,4,75,0,3,3,4,3,1,5,0,5,35.6
Stephen Curry,GSW,GSW @ NOP,10/30/2023,W,30,42,15,22,68.2,7,13,53.8,5,7,71.4,0,5,5,5,2,0,3,1,13,58.5
Anthony Edwards,MIN,MIN @ ATL,10/30/2023,L,38,31,13,21,61.9,5,8,62.5,0,1,0,0,5,5,7,1,0,5,4,-9,45.5
Giannis Antetokounmpo,MIL,MIL vs. MIA,10/30/2023,W,32,33,12,21,57.1,1,3,33.3,8,11,72.7,1,6,7,2,0,1,2,3,18,45.4
Shai Gilgeous-Alexander,OKC,OKC vs. DET,10/30/2023,W,33,32,11,23,47.8,1,3,33.3,9,9,100,1,8,9,4,3,0,5,2,17,52.8
Jayson Tatum,BOS,BOS @ WAS,10/30/2023,W,28,33,14,21,66.7,4,9,44.4,1,1,100,0,6,6,3,0,0,2,2,27,42.7
Wendell Carter Jr.,ORL,ORL @ LAL,10/30/2023,L,35,10,4,8,50,1,3,33.3,1,2,50,2,6,8,1,0,1,0,4,2,24.1
Trae Young,ATL,ATL vs. MIN,10/30/2023,W,35,24,9,22,40.9,1,7,14.3,5,5,100,0,1,1,8,1,0,1,1,4,39.2
Kevin Durant,PHX,PHX vs. SAS,10/31/2023,L,37,26,12,19,63.2,1,3,33.3,1,2,50,0,2,2,7,2,0,5,0,3,39.9
Jalen Brunson,NYK,NYK @ CLE,10/31/2023,W,34,19,7,16,43.8,1,3,33.3,4,5,80,0,5,5,2,2,0,5,1,21,29
Victor Wembanyama,SAS,SAS @ PHX,10/31/2023,W,28,18,6,12,50,2,6,33.3,4,5,80,3,5,8,1,0,4,5,3,-3,36.1
Wendell Carter Jr.,ORL,ORL @ LAC,10/31/2023,L,30,7,2,8,25,0,2,0,3,6,50,1,7,8,3,1,0,2,2,-16,22.1
LeBron James,LAL,LAL vs. LAC,11/01/2023,W,42,35,13,19,68.4,4,8,50,5,10,50,0,12,12,7,1,2,4,3,6,64.9
Stephen Curry,GSW,GSW vs. SAC,11/01/2023,W,32,21,7,15,46.7,4,10,40,3,3,100,1,4,5,3,0,0,7,3,-6,24.5
Anthony Edwards,MIN,MIN vs. DEN,11/01/2023,W,32,24,8,16,50,1,4,25,7,8,87.5,0,2,2,1,2,0,4,1,11,29.9
Giannis Antetokounmpo,MIL,MIL @ TOR,11/01/2023,L,28,16,5,11,45.5,0,0,-,6,9,66.7,3,1,4,2,1,0,3,3,-10,23.8
Shai Gilgeous-Alexander,OKC,OKC vs. NOP,11/01/2023,L,38,20,8,20,40,0,5,0,4,5,80,0,5,5,8,3,0,2,2,1,45
Jayson Tatum,BOS,BOS vs. IND,11/01/2023,W,27,30,9,15,60,3,5,60,9,10,90,2,10,12,4,0,0,2,1,36,48.4
Jalen Brunson,NYK,NYK vs. CLE,11/01/2023,L,39,24,8,23,34.8,0,2,0,8,9,88.9,1,3,4,4,0,0,1,4,-6,33.8
Trae Young,ATL,ATL vs. WAS,11/01/2023,W,35,23,7,18,38.9,1,3,33.3,8,9,88.9,0,3,3,10,2,0,3,1,4,44.6
Tyrese Maxey,PHI,PHI vs. TOR,11/02/2023,W,40,18,7,16,43.8,0,3,0,4,4,100,0,1,1,4,2,0,1,1,6,30.2
Kevin Durant,PHX,PHX vs. SAS,11/02/2023,L,37,28,10,15,66.7,3,5,60,5,9,55.6,0,6,6,1,0,2,3,3,-17,39.7
Victor Wembanyama,SAS,SAS @ PHX,11/02/2023,W,34,38,15,26,57.7,3,6,50,5,6,83.3,2,8,10,2,1,2,2,3,21,60
Wendell Carter Jr.,ORL,ORL @ UTA,11/02/2023,W,29,14,5,12,41.7,3,6,50,1,2,50,2,8,10,2,0,1,2,4,2,30
Joel Embiid,PHI,PHI vs. TOR,11/02/2023,W,35,28,8,22,36.4,0,2,0,12,13,92.3,5,8,13,7,0,1,4,2,22,53.1
Stephen Curry,GSW,GSW @ OKC,11/03/2023,W,31,30,9,15,60,5,10,50,7,7,100,3,5,8,7,2,0,3,1,5,53.1
Giannis Antetokounmpo,MIL,MIL vs. NYK,11/03/2023,W,36,22,6,10,60,3,3,100,7,13,53.8,1,7,8,6,0,1,7,3,13,36.6
Jalen Brunson,NYK,NYK @ MIL,11/03/2023,L,42,45,17,30,56.7,2,8,25,9,11,81.8,2,3,5,4,1,0,4,3,2,56
LeBron James,LAL,LAL @ ORL,11/04/2023,L,35,24,8,15,53.3,2,5,40,6,7,85.7,1,8,9,5,3,0,3,1,12,48.3
Tyrese Maxey,PHI,PHI vs. PHX,11/04/2023,W,36,22,9,18,50,2,6,33.3,2,2,100,2,3,5,10,0,1,3,0,25,43
Anthony Edwards,MIN,MIN vs. UTA,11/04/2023,W,36,31,13,19,68.4,2,4,50,3,5,60,0,8,8,6,1,0,6,0,27,46.6
Kevin Durant,PHX,PHX @ PHI,11/04/2023,L,36,31,9,20,45,1,4,25,12,14,85.7,1,7,8,3,1,2,5,1,-13,49.1
Jayson Tatum,BOS,BOS @ BKN,11/04/2023,W,41,32,10,20,50,6,10,60,6,6,100,1,10,11,1,0,0,3,1,18,43.7
Joel Embiid,PHI,PHI vs. PHX,11/04/2023,W,31,26,9,18,50,3,3,100,5,5,100,3,8,11,3,0,1,4,2,4,42.7
Trae Young,ATL,ATL @ NOP,11/04/2023,W,39,22,7,15,46.7,3,7,42.9,5,6,83.3,3,2,5,12,1,0,5,3,18,44
Stephen Curry,GSW,GSW @ CLE,11/05/2023,L,31,28,8,16,50,7,11,63.6,5,6,83.3,0,2,2,4,1,0,6,0,-6,33.4
Kevin Durant,PHX,PHX @ DET,11/05/2023,W,35,41,14,27,51.9,1,3,33.3,12,12,100,0,4,4,5,1,2,3,1,7,59.3
Victor Wembanyama,SAS,SAS vs. TOR,11/05/2023,L,38,20,7,16,43.8,2,7,28.6,4,5,80,2,7,9,4,1,5,2,1,-16,52.8
LeBron James,LAL,LAL @ MIA,11/06/2023,L,37,30,13,23,56.5,0,4,0,4,4,100,0,4,4,3,1,3,5,4,6,46.3
Stephen Curry,GSW,GSW @ DET,11/06/2023,W,33,34,12,26,46.2,7,17,41.2,3,4,75,0,2,2,4,0,0,3,1,17,39.4
James Harden,LAC,LAC @ NYK,11/06/2023,L,31,17,6,9,66.7,2,4,50,3,3,100,0,3,3,6,1,0,2,2,-18,30.6
Tyrese Maxey,PHI,PHI vs. WAS,11/06/2023,W,32,22,9,16,56.3,3,9,33.3,1,1,100,0,1,1,11,1,1,0,2,9,45.7
Anthony Edwards,MIN,MIN vs. BOS,11/06/2023,W,38,38,15,25,60,2,8,25,6,7,85.7,0,9,9,7,1,0,3,5,18,59.3
Giannis Antetokounmpo,MIL,MIL @ BKN,11/06/2023,W,35,36,15,27,55.6,1,7,14.3,5,6,83.3,2,10,12,3,1,2,3,1,15,60.9
Shai Gilgeous-Alexander,OKC,OKC vs. ATL,11/06/2023,W,37,30,11,20,55,3,7,42.9,5,6,83.3,1,7,8,6,1,0,2,5,14,49.6
Jayson Tatum,BOS,BOS @ MIN,11/06/2023,L,43,32,12,22,54.5,2,8,25,6,8,75,0,5,5,2,5,0,6,2,3,50
Jalen Brunson,NYK,NYK vs. LAC,11/06/2023,W,35,7,2,12,16.7,1,3,33.3,2,2,100,2,1,3,6,3,0,4,1,-1,24.6
Victor Wembanyama,SAS,SAS @ IND,11/06/2023,L,21,13,3,12,25,2,5,40,5,6,83.3,1,9,10,0,1,2,2,1,-9,32
Joel Embiid,PHI,PHI vs. WAS,11/06/2023,W,31,48,17,25,68,0,2,0,14,14,100,2,9,11,6,1,1,1,2,15,75.2
Trae Young,ATL,ATL @ OKC,11/06/2023,L,36,22,5,18,27.8,1,5,20,11,11,100,1,3,4,11,1,0,7,1,-18,39.3
LeBron James,LAL,LAL @ HOU,11/08/2023,L,27,18,7,13,53.8,0,2,0,4,5,80,1,5,6,2,0,0,3,1,-24,25.2
Stephen Curry,GSW,GSW @ DEN,11/08/2023,L,34,23,6,17,35.3,6,13,46.2,5,5,100,1,4,5,4,1,0,3,2,-10,35
James Harden,LAC,LAC @ BKN,11/08/2023,L,36,12,4,9,44.4,2,5,40,2,2,100,0,8,8,5,2,0,5,0,-15,30.1
Tyrese Maxey,PHI,PHI vs. BOS,11/08/2023,W,39,25,11,27,40.7,3,11,27.3,0,1,0,1,8,9,5,1,2,1,4,-3,51.3
Anthony Edwards,MIN,MIN vs. NOP,11/08/2023,W,33,26,10,22,45.5,2,8,25,4,5,80,0,3,3,8,3,2,3,1,35,53.6
Giannis Antetokounmpo,MIL,MIL vs. DET,11/08/2023,W,22,15,6,16,37.5,0,2,0,3,6,50,0,9,9,5,0,3,1,1,5,41.3
Shai Gilgeous-Alexander,OKC,OKC vs. CLE,11/08/2023,W,38,43,15,22,68.2,1,2,50,12,13,92.3,2,5,7,6,2,1,3,3,10,66.4
Kevin Durant,PHX,PHX @ CHI,11/08/2023,W,42,25,7,16,43.8,2,5,40,9,9,100,1,6,7,9,2,1,6,2,5,49.9
Jayson Tatum,BOS,BOS @ PHI,11/08/2023,L,37,16,6,14,42.9,2,6,33.3,2,3,66.7,1,14,15,6,3,0,2,2,-1,50
Jalen Brunson,NYK,NYK vs. SAS,11/08/2023,W,33,25,8,19,42.1,5,8,62.5,4,4,100,0,2,2,6,0,0,0,2,27,36.4
Victor Wembanyama,SAS,SAS @ NYK,11/08/2023,L,30,14,4,14,28.6,0,4,0,6,6,100,4,5,9,2,0,1,3,2,-25,27.8
Joel Embiid,PHI,PHI vs. BOS,11/08/2023,W,37,27,10,20,50,1,4,25,6,6,100,1,9,10,4,1,4,6,3,4,54
Giannis Antetokounmpo,MIL,MIL @ IND,11/09/2023,L,36,54,19,25,76,0,1,0,16,18,88.9,2,10,12,3,0,0,8,4,6,64.9
Trae Young,ATL,ATL @ ORL,11/09/2023,W,34,41,12,27,44.4,5,15,33.3,12,13,92.3,2,2,4,8,3,0,3,1,1,63.8
LeBron James,LAL,LAL @ PHX,11/10/2023,W,36,32,11,17,64.7,3,4,75,7,11,63.6,1,10,11,6,1,1,4,1,2,56.2
James Harden,LAC,LAC @ DAL,11/10/2023,L,29,14,3,6,50,2,3,66.7,6,6,100,0,5,5,3,2,0,2,0,-6,28.5
Tyrese Maxey,PHI,PHI @ DET,11/10/2023,W,39,29,9,19,47.4,2,7,28.6,9,9,100,0,6,6,11,3,1,0,3,17,64.7
Anthony Edwards,MIN,MIN @ SAS,11/10/2023,W,37,28,9,21,42.9,2,8,25,8,11,72.7,2,5,7,5,2,1,4,1,3,48.9
Shai Gilgeous-Alexander,OKC,OKC @ SAC,11/10/2023,L,38,33,14,25,56,0,2,0,5,6,83.3,0,7,7,5,2,2,2,1,-3,58.9
Kevin Durant,PHX,PHX vs. LAL,11/10/2023,L,39,38,13,27,48.1,4,6,66.7,8,10,80,1,8,9,5,0,0,4,4,8,52.3
Jayson Tatum,BOS,BOS vs. BKN,11/10/2023,W,33,23,6,17,35.3,4,11,36.4,7,9,77.8,1,9,10,3,0,0,2,1,28,37.5
Victor Wembanyama,SAS,SAS vs. MIN,11/10/2023,L,35,29,12,21,57.1,3,7,42.9,2,4,50,1,8,9,4,1,4,3,5,3,57.8
Joel Embiid,PHI,PHI @ DET,11/10/2023,W,36,33,8,21,38.1,1,4,25,16,19,84.2,7,9,16,3,0,2,5,3,1,57.7
Stephen Curry,GSW,GSW vs. CLE,11/11/2023,L,33,30,9,24,37.5,4,14,28.6,8,8,100,1,2,3,2,1,1,4,1,-8,38.6
Giannis Antetokounmpo,MIL,MIL @ ORL,11/11/2023,L,37,35,15,22,68.2,0,1,0,5,12,41.7,2,8,10,7,4,2,6,4,-11,69.5
Jayson Tatum,BOS,BOS vs. TOR,11/11/2023,W,34,27,10,18,55.6,3,9,33.3,4,6,66.7,0,5,5,4,0,1,1,2,42,41
Trae Young,ATL,ATL vs. MIA,11/11/2023,L,38,27,7,19,36.8,3,9,33.3,10,11,90.9,0,2,2,11,1,0,5,0,4,43.9
Stephen Curry,GSW,GSW vs. MIN,11/12/2023,L,36,38,11,25,44,5,13,38.5,11,12,91.7,1,4,5,3,1,0,5,2,-4,46.5
James Harden,LAC,LAC vs. MEM,11/12/2023,L,29,11,4,12,33.3,1,7,14.3,2,2,100,2,2,4,3,1,1,1,0,-28,25.3
Tyrese Maxey,PHI,PHI vs. IND,11/12/2023,W,39,50,20,32,62.5,7,11,63.6,3,3,100,3,4,7,5,0,3,2,2,17,72.9
Anthony Edwards,MIN,MIN @ GSW,11/12/2023,W,38,33,11,27,40.7,1,9,11.1,10,10,100,1,5,6,7,2,0,4,0,15,52.7
Shai Gilgeous-Alexander,OKC,OKC @ PHX,11/12/2023,W,37,35,13,22,59.1,2,5,40,7,8,87.5,0,7,7,4,1,1,1,3,7,54.4
Kevin Durant,PHX,PHX vs. OKC,11/12/2023,L,36,28,7,18,38.9,3,5,60,11,11,100,0,9,9,4,1,2,3,1,-13,50.8
Jalen Brunson,NYK,NYK vs. CHA,11/12/2023,W,27,20,7,12,58.3,2,4,50,4,4,100,0,1,1,1,1,0,1,2,13,24.7
Victor Wembanyama,SAS,SAS vs. MIA,11/12/2023,L,34,18,8,22,36.4,2,9,22.2,0,0,-,1,10,11,7,1,1,7,3,5,40.7
Joel Embiid,PHI,PHI vs. IND,11/12/2023,W,33,37,12,26,46.2,1,4,25,12,14,85.7,8,5,13,7,1,1,3,2,-1,66.1
Giannis Antetokounmpo,MIL,MIL vs. CHI,11/13/2023,W,35,35,13,22,59.1,1,3,33.3,8,14,57.1,3,8,11,2,0,0,3,4,13,48.2
Jayson Tatum,BOS,BOS vs. NYK,11/13/2023,W,39,35,13,23,56.5,5,12,41.7,4,5,80,1,5,6,7,1,0,3,5,12,52.7
Jalen Brunson,NYK,NYK @ BOS,11/13/2023,L,39,26,10,21,47.6,3,7,42.9,3,5,60,0,3,3,4,1,0,2,0,-20,36.6
LeBron James,LAL,LAL vs. MEM,11/14/2023,W,23,16,6,11,54.5,3,6,50,1,2,50,0,9,9,6,1,0,4,1,15,34.8
James Harden,LAC,LAC @ DEN,11/14/2023,L,35,21,7,15,46.7,3,8,37.5,4,4,100,0,2,2,4,0,0,1,3,-3,28.4
Tyrese Maxey,PHI,PHI vs. IND,11/14/2023,L,38,27,9,23,39.1,2,5,40,7,7,100,0,4,4,5,0,1,4,2,-6,38.3
Anthony Edwards,MIN,MIN @ GSW,11/14/2023,W,36,20,7,16,43.8,3,6,50,3,5,60,0,4,4,4,3,0,5,1,-9,34.8
Shai Gilgeous-Alexander,OKC,OKC vs. SAS,11/14/2023,W,28,28,10,16,62.5,1,4,25,7,7,100,1,5,6,5,7,0,2,2,25,61.7
Victor Wembanyama,SAS,SAS @ OKC,11/14/2023,L,28,8,4,15,26.7,0,3,0,0,0,-,3,11,14,2,0,2,5,2,-31,28.8
Joel Embiid,PHI,PHI vs. IND,11/14/2023,L,38,39,11,22,50,0,4,0,17,17,100,3,9,12,6,3,0,5,4,-9,66.4
LeBron James,LAL,LAL vs. SAC,11/15/2023,L,35,28,9,15,60,3,7,42.9,7,8,87.5,2,8,10,12,4,1,6,1,0,67
Tyrese Maxey,PHI,PHI vs. BOS,11/15/2023,L,39,20,6,15,40,3,7,42.9,5,5,100,0,3,3,4,0,0,2,3,9,27.6
Anthony Edwards,MIN,MIN @ PHX,11/15/2023,L,31,13,4,16,25,1,3,33.3,4,4,100,1,3,4,4,1,1,1,0,-29,28.8
Kevin Durant,PHX,PHX vs. MIN,11/15/2023,W,35,31,11,15,73.3,2,2,100,7,7,100,0,6,6,6,0,1,2,3,27,48.2
Jayson Tatum,BOS,BOS @ PHI,11/15/2023,W,39,29,10,23,43.5,4,10,40,5,6,83.3,2,6,8,6,2,0,3,1,2,50.6
Jalen Brunson,NYK,NYK @ ATL,11/15/2023,W,41,24,8,19,42.1,6,10,60,2,2,100,0,0,0,8,0,0,3,2,8,33
Joel Embiid,PHI,PHI vs. BOS,11/15/2023,L,34,20,8,16,50,0,2,0,4,4,100,3,6,9,7,1,0,2,3,-25,42.3
Trae Young,ATL,ATL vs. NYK,11/15/2023,L,34,15,4,12,33.3,0,4,0,7,9,77.8,0,1,1,17,2,0,3,0,1,44.7
Shai Gilgeous-Alexander,OKC,OKC @ GSW,11/16/2023,W,29,24,6,21,28.6,3,7,42.9,9,9,100,1,1,2,7,3,1,2,4,12,46.9
LeBron James,LAL,LAL @ POR,11/17/2023,W,35,35,13,22,59.1,5,9,55.6,4,6,66.7,0,5,5,9,2,0,3,3,19,57.5
James Harden,LAC,LAC vs. HOU,11/17/2023,W,34,24,8,11,72.7,2,4,50,6,7,85.7,1,8,9,7,0,1,3,1,21,45.3
Tyrese Maxey,PHI,PHI @ ATL,11/17/2023,W,40,19,5,13,38.5,3,6,50,6,6,100,0,4,4,8,2,0,2,1,1,39.8
Giannis Antetokounmpo,MIL,MIL @ CHA,11/17/2023,W,28,16,6,10,60,0,0,-,4,7,57.1,0,8,8,9,1,0,4,5,6,38.1
Kevin Durant,PHX,PHX @ UTA,11/17/2023,W,33,38,15,22,68.2,6,8,75,2,2,100,0,9,9,9,0,0,1,1,-8,61.3
Jayson Tatum,BOS,BOS @ TOR,11/17/2023,W,37,17,8,22,36.4,1,11,9.1,0,0,-,1,6,7,2,1,0,3,3,-4,28.4
Jalen Brunson,NYK,NYK @ WAS,11/17/2023,W,34,32,10,23,43.5,6,10,60,6,6,100,3,4,7,7,0,0,0,2,18,50.9
Victor Wembanyama,SAS,SAS vs. SAC,11/17/2023,L,30,27,12,26,46.2,2,8,25,1,1,100,1,8,9,0,2,0,4,3,-31,39.8
Joel Embiid,PHI,PHI @ ATL,11/17/2023,W,37,32,10,19,52.6,1,3,33.3,11,11,100,2,5,7,8,2,0,4,3,16,54.4
Trae Young,ATL,ATL vs. PHI,11/17/2023,L,37,22,5,14,35.7,2,6,33.3,10,10,100,0,2,2,13,1,0,4,3,12,42.9
Stephen Curry,GSW,GSW vs. OKC,11/18/2023,L,40,25,8,21,38.1,5,11,45.5,4,4,100,0,7,7,3,0,0,2,2,0,35.9
Anthony Edwards,MIN,MIN @ NOP,11/18/2023,W,30,23,9,19,47.4,5,10,50,0,0,-,0,3,3,4,0,0,3,6,13,29.6
Giannis Antetokounmpo,MIL,MIL vs. DAL,11/18/2023,W,38,40,18,26,69.2,1,3,33.3,3,5,60,2,13,15,7,2,1,3,3,-7,74.5
Shai Gilgeous-Alexander,OKC,OKC @ GSW,11/18/2023,W,41,40,18,29,62.1,2,3,66.7,2,2,100,1,6,7,6,2,2,3,1,7,66.4
Jalen Brunson,NYK,NYK @ CHA,11/18/2023,W,39,32,12,21,57.1,4,8,50,4,4,100,0,4,4,7,0,0,2,2,15,45.3
Victor Wembanyama,SAS,SAS vs. MEM,11/18/2023,L,31,19,6,17,35.3,2,6,33.3,5,6,83.3,4,9,13,4,1,8,2,5,-6,65.6
LeBron James,LAL,LAL vs. HOU,11/19/2023,W,40,37,14,19,73.7,2,5,40,7,9,77.8,1,5,6,8,3,0,2,0,2,63.2
Tyrese Maxey,PHI,PHI @ BKN,11/19/2023,W,36,25,8,20,40,6,11,54.5,3,3,100,1,1,2,10,0,0,1,0,21,41.4
Shai Gilgeous-Alexander,OKC,OKC @ POR,11/19/2023,W,23,28,10,13,76.9,1,1,100,7,7,100,0,3,3,4,1,0,3,2,26,37.6
