PLAYER,TEAM,MATCH UP,GAME DATE,W/L,MIN,PTS,FGM,FGA,FG%,3 POINT MADE,3 POINT ATTEMPTED,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PLUS/MINUS,FP
Wendell Carter Jr.,ORL,ORL vs. CHI,02/10/2024,W,26,6,3,6,50,0,2,0,0,0,-,0,3,3,1,0,1,1,2,-7,13.1
Trae Young,ATL,ATL vs. HOU,02/10/2024,W,33,18,6,16,37.5,2,9,22.2,4,6,66.7,0,4,4,8,2,1,4,3,-1,39.8
Shai Gilgeous-Alexander,OKC,OKC vs. SAC,02/11/2024,W,39,38,15,26,57.7,3,4,75,5,9,55.6,0,3,3,7,1,2,1,0,16,60.1
Jayson Tatum,BOS,BOS @ MIA,02/11/2024,W,39,26,11,20,55,2,6,33.3,2,2,100,1,9,10,9,0,2,1,1,5,56.5
Stephen Curry,GSW,GSW @ UTA,02/12/2024,W,32,25,9,19,47.4,7,16,43.8,0,0,-,0,6,6,10,3,1,1,1,30,58.2
James Harden,LAC,LAC vs. MIN,02/12/2024,L,32,17,5,13,38.5,3,8,37.5,4,5,80,0,2,2,6,1,1,0,0,-9,34.4
Tyrese Maxey,PHI,PHI @ CLE,02/12/2024,W,42,22,9,21,42.9,2,5,40,2,4,50,1,3,4,9,0,0,4,5,-2,36.3
Giannis Antetokounmpo,MIL,MIL vs. DEN,02/12/2024,W,30,36,14,19,73.7,0,0,-,8,14,57.1,4,14,18,5,3,2,2,2,18,78.1
Anthony Edwards,MIN,MIN @ LAC,02/12/2024,W,32,23,8,18,44.4,1,11,9.1,6,6,100,0,7,7,8,1,0,1,2,18,45.4
Jalen Brunson,NYK,NYK @ HOU,02/12/2024,L,39,27,10,25,40,2,6,33.3,5,8,62.5,0,4,4,7,0,0,5,4,-1,37.3
Victor Wembanyama,SAS,SAS @ TOR,02/12/2024,W,29,27,10,14,71.4,2,4,50,5,6,83.3,2,12,14,5,2,10,7,2,20,80.3
Trae Young,ATL,ATL vs. CHI,02/12/2024,L,36,19,3,14,21.4,2,10,20,11,12,91.7,0,3,3,14,0,0,2,1,-14,41.6
LeBron James,LAL,LAL vs. DET,02/13/2024,W,31,25,9,15,60,3,6,50,4,4,100,0,1,1,8,0,0,4,0,9,34.2
Giannis Antetokounmpo,MIL,MIL vs. MIA,02/13/2024,L,34,23,11,18,61.1,1,2,50,0,0,-,2,9,11,8,0,2,5,0,-23,49.2
Shai Gilgeous-Alexander,OKC,OKC @ ORL,02/13/2024,W,34,32,11,24,45.8,1,1,100,9,10,90,0,3,3,5,2,1,1,5,0,51.1
Anthony Edwards,MIN,MIN @ POR,02/13/2024,W,34,41,16,27,59.3,4,8,50,5,5,100,0,4,4,2,2,1,2,1,16,55.8
Kevin Durant,PHX,PHX vs. SAC,02/13/2024,W,38,28,11,17,64.7,2,5,40,4,6,66.7,2,9,11,4,1,0,3,2,8,47.2
Jayson Tatum,BOS,BOS @ BKN,02/13/2024,W,39,41,14,26,53.8,5,11,45.5,8,8,100,0,14,14,5,2,1,2,3,21,72.3
Wendell Carter Jr.,ORL,ORL vs. OKC,02/13/2024,L,31,22,9,14,64.3,1,4,25,3,3,100,0,6,6,1,0,0,3,5,2,27.7
Stephen Curry,GSW,GSW vs. LAC,02/14/2024,L,35,41,15,31,48.4,9,19,47.4,2,2,100,1,3,4,5,0,0,4,3,-6,49.3
James Harden,LAC,LAC @ GSW,02/14/2024,W,40,26,7,12,58.3,4,9,44.4,8,9,88.9,2,6,8,7,0,1,1,0,13,48.1
Tyrese Maxey,PHI,PHI vs. MIA,02/14/2024,L,39,30,12,23,52.2,2,7,28.6,4,4,100,1,5,6,7,0,0,3,2,-3,44.7
Kevin Durant,PHX,PHX vs. DET,02/14/2024,W,30,25,8,13,61.5,1,3,33.3,8,8,100,1,5,6,6,1,2,5,2,23,45.2
Jayson Tatum,BOS,BOS vs. BKN,02/14/2024,W,28,20,7,16,43.8,2,7,28.6,4,5,80,1,6,7,9,0,0,1,0,27,40.9
Jalen Brunson,NYK,NYK @ ORL,02/14/2024,L,35,33,11,21,52.4,5,8,62.5,6,7,85.7,1,0,1,6,2,0,3,0,-2,46.2
Victor Wembanyama,SAS,SAS @ DAL,02/14/2024,L,27,26,10,21,47.6,2,6,33.3,4,5,80,3,6,9,5,1,3,2,0,-9,54.3
Wendell Carter Jr.,ORL,ORL vs. NYK,02/14/2024,W,24,9,4,5,80,0,1,0,1,2,50,1,5,6,1,0,1,0,2,5,20.7
Trae Young,ATL,ATL @ CHA,02/14/2024,L,34,12,4,12,33.3,2,8,25,2,2,100,1,1,2,12,0,0,4,4,-15,28.4
Stephen Curry,GSW,GSW @ UTA,02/15/2024,W,35,16,4,14,28.6,2,8,25,6,8,75,1,1,2,10,1,0,4,2,-2,32.4
Giannis Antetokounmpo,MIL,MIL @ MEM,02/15/2024,L,37,35,15,17,88.2,0,0,-,5,9,55.6,0,4,4,12,0,0,1,5,-14,56.8
Anthony Edwards,MIN,MIN @ POR,02/15/2024,W,33,34,12,21,57.1,3,7,42.9,7,8,87.5,1,5,6,7,2,1,1,1,36,59.7
Stephen Curry,GSW,GSW vs. LAL,02/22/2024,W,32,32,12,24,50,6,13,46.2,2,2,100,0,1,1,8,3,0,1,1,25,53.2
James Harden,LAC,LAC @ OKC,02/22/2024,L,29,17,5,9,55.6,3,6,50,4,4,100,2,4,6,2,1,0,3,2,-7,27.2
Tyrese Maxey,PHI,PHI vs. NYK,02/22/2024,L,40,35,11,24,45.8,4,11,36.4,9,9,100,1,5,6,5,0,0,4,1,-14,45.7
Shai Gilgeous-Alexander,OKC,OKC vs. LAC,02/22/2024,W,35,31,12,19,63.2,3,6,50,4,6,66.7,0,4,4,8,1,2,2,1,21,54.8
Kevin Durant,PHX,PHX @ DAL,02/22/2024,L,40,23,9,22,40.9,2,8,25,3,5,60,0,6,6,1,1,1,5,3,-4,32.7
Jayson Tatum,BOS,BOS @ CHI,02/22/2024,W,35,25,8,17,47.1,5,10,50,4,6,66.7,0,7,7,5,3,0,3,3,13,46.9
Jalen Brunson,NYK,NYK @ PHI,02/22/2024,W,39,21,5,18,27.8,0,4,0,11,11,100,0,2,2,12,2,1,7,2,20,43.4
Victor Wembanyama,SAS,SAS @ SAC,02/22/2024,L,31,19,8,21,38.1,1,6,16.7,2,3,66.7,5,8,13,4,5,5,1,1,0,69.6
Wendell Carter Jr.,ORL,ORL @ CLE,02/22/2024,W,23,12,5,7,71.4,2,3,66.7,0,0,-,0,2,2,1,0,0,1,2,-11,14.9
LeBron James,LAL,LAL vs. SAS,02/23/2024,W,34,30,13,22,59.1,2,3,66.7,2,2,100,1,6,7,9,1,0,2,0,21,52.9
Stephen Curry,GSW,GSW vs. CHA,02/23/2024,W,31,15,5,14,35.7,3,11,27.3,2,2,100,0,2,2,5,1,0,4,1,10,23.9
James Harden,LAC,LAC @ MEM,02/23/2024,W,39,9,1,8,12.5,1,4,25,6,7,85.7,1,7,8,8,0,1,4,0,3,29.6
Tyrese Maxey,PHI,PHI vs. CLE,02/23/2024,W,39,24,9,22,40.9,2,5,40,4,4,100,0,7,7,5,2,0,2,3,4,43.9
Giannis Antetokounmpo,MIL,MIL @ MIN,02/23/2024,W,41,33,9,13,69.2,1,1,100,14,21,66.7,4,9,13,5,1,0,3,1,1,56.1
Shai Gilgeous-Alexander,OKC,OKC vs. WAS,02/23/2024,W,30,30,10,17,58.8,1,3,33.3,9,9,100,0,7,7,9,1,1,1,3,38,56.9
Anthony Edwards,MIN,MIN vs. MIL,02/23/2024,L,38,28,10,27,37,4,12,33.3,4,6,66.7,0,9,9,5,1,0,3,2,-16,46.3
Kevin Durant,PHX,PHX @ HOU,02/23/2024,L,38,28,10,22,45.5,1,7,14.3,7,10,70,0,11,11,8,1,2,2,3,5,60.2
Victor Wembanyama,SAS,SAS @ LAL,02/23/2024,L,31,27,7,16,43.8,3,8,37.5,10,11,90.9,1,9,10,8,5,5,2,3,0,79
Trae Young,ATL,ATL vs. TOR,02/23/2024,L,35,11,4,13,30.8,2,6,33.3,1,2,50,0,3,3,7,0,0,4,3,-6,21.1
Anthony Edwards,MIN,MIN vs. BKN,02/24/2024,W,38,29,11,23,47.8,1,3,33.3,6,9,66.7,0,8,8,3,2,1,1,0,16,51.1
Jayson Tatum,BOS,BOS @ NYK,02/24/2024,W,43,19,7,15,46.7,2,8,25,3,4,75,1,5,6,6,2,1,4,3,15,40.2
Jalen Brunson,NYK,NYK vs. BOS,02/24/2024,L,38,34,12,25,48,4,9,44.4,6,6,100,1,2,3,9,1,0,4,0,-12,50.1
Wendell Carter Jr.,ORL,ORL @ DET,02/24/2024,W,22,11,3,5,60,2,3,66.7,3,4,75,3,7,10,2,1,0,1,2,-7,28
LeBron James,LAL,LAL @ PHX,02/25/2024,L,37,28,12,19,63.2,3,6,50,1,4,25,1,6,7,12,2,1,3,3,-8,60.4
Stephen Curry,GSW,GSW vs. DEN,02/25/2024,L,32,20,6,19,31.6,1,10,10,7,8,87.5,0,1,1,4,0,0,3,2,-22,24.2
James Harden,LAC,LAC vs. SAC,02/25/2024,L,35,20,4,13,30.8,2,10,20,10,10,100,0,5,5,8,0,0,3,3,-25,35
Tyrese Maxey,PHI,PHI vs. MIL,02/25/2024,L,38,24,8,19,42.1,3,8,37.5,5,5,100,0,3,3,7,3,0,1,3,-11,46.1
Giannis Antetokounmpo,MIL,MIL @ PHI,02/25/2024,W,36,30,10,17,58.8,1,2,50,9,12,75,1,11,12,9,0,1,6,1,14,54.9
Shai Gilgeous-Alexander,OKC,OKC @ HOU,02/25/2024,W,37,36,13,23,56.5,2,3,66.7,8,9,88.9,0,5,5,7,3,1,4,2,17,60.5
Kevin Durant,PHX,PHX vs. LAL,02/25/2024,W,39,22,7,20,35,2,8,25,6,6,100,1,4,5,7,0,2,3,2,2,41.5
Victor Wembanyama,SAS,SAS @ UTA,02/25/2024,L,27,22,9,17,52.9,1,3,33.3,3,4,75,2,8,10,2,1,5,4,1,-2,51
Wendell Carter Jr.,ORL,ORL @ ATL,02/25/2024,L,34,18,7,12,58.3,2,5,40,2,4,50,4,6,10,1,1,1,3,2,-11,34.5
Jalen Brunson,NYK,NYK vs. DET,02/26/2024,W,40,35,11,26,42.3,3,11,27.3,10,11,90.9,0,1,1,12,2,0,4,3,3,56.2
Stephen Curry,GSW,GSW @ WAS,02/27/2024,W,30,18,6,21,28.6,4,16,25,2,2,100,0,5,5,6,1,1,3,1,1,36
Tyrese Maxey,PHI,PHI @ BOS,02/27/2024,L,37,32,12,24,50,4,12,33.3,4,4,100,1,2,3,5,2,1,1,1,-24,51.1
Giannis Antetokounmpo,MIL,MIL vs. CHA,02/27/2024,W,24,24,8,13,61.5,1,1,100,7,8,87.5,3,5,8,1,0,0,1,1,25,34.1
Shai Gilgeous-Alexander,OKC,OKC vs. HOU,02/27/2024,W,32,31,11,21,52.4,4,6,66.7,5,6,83.3,2,6,8,3,1,0,2,2,6,46.1
Anthony Edwards,MIN,MIN vs. SAS,02/27/2024,W,33,34,13,29,44.8,4,10,40,4,4,100,1,4,5,5,4,1,4,0,5,58.5
Jayson Tatum,BOS,BOS vs. PHI,02/27/2024,W,35,29,9,20,45,1,7,14.3,10,11,90.9,0,11,11,8,0,1,1,1,27,56.2
Victor Wembanyama,SAS,SAS @ MIN,02/27/2024,L,34,17,5,13,38.5,2,7,28.6,5,5,100,1,12,13,5,2,4,5,5,2,53.1
Wendell Carter Jr.,ORL,ORL vs. BKN,02/27/2024,W,22,10,5,9,55.6,0,2,0,0,0,-,2,5,7,2,0,1,2,3,20,22.4
LeBron James,LAL,LAL @ LAC,02/28/2024,W,37,34,13,21,61.9,7,12,58.3,1,1,100,1,5,6,8,0,2,3,2,11,56.2
James Harden,LAC,LAC vs. LAL,02/28/2024,L,40,23,8,16,50,2,9,22.2,5,6,83.3,1,2,3,9,1,0,4,1,-12,39.1
Anthony Edwards,MIN,MIN vs. MEM,02/28/2024,W,40,34,11,21,52.4,1,6,16.7,11,11,100,0,2,2,4,0,1,3,3,8,42.4
LeBron James,LAL,LAL vs. WAS,02/29/2024,W,39,31,12,24,50,2,5,40,5,7,71.4,0,4,4,9,1,1,4,1,-5,51.3
Stephen Curry,GSW,GSW @ NYK,02/29/2024,W,32,31,11,26,42.3,8,18,44.4,1,1,100,2,9,11,1,1,0,3,0,20,45.7
Giannis Antetokounmpo,MIL,MIL @ CHA,02/29/2024,W,33,24,10,15,66.7,2,2,100,2,3,66.7,2,8,10,5,0,0,1,3,16,42.5
Shai Gilgeous-Alexander,OKC,OKC @ SAS,02/29/2024,L,35,31,12,22,54.5,1,1,100,6,7,85.7,1,5,6,3,1,1,1,4,-7,47.7
Kevin Durant,PHX,PHX vs. HOU,02/29/2024,W,40,24,8,19,42.1,1,3,33.3,7,10,70,2,5,7,6,0,0,3,1,2,38.4
Jalen Brunson,NYK,NYK vs. GSW,02/29/2024,L,37,27,11,25,44,4,7,57.1,1,1,100,1,4,5,5,0,0,4,4,-14,36.5
Victor Wembanyama,SAS,SAS vs. OKC,02/29/2024,W,32,28,9,17,52.9,5,7,71.4,5,7,71.4,3,10,13,7,2,5,2,2,17,73.1
Wendell Carter Jr.,ORL,ORL vs. UTA,02/29/2024,W,22,6,2,6,33.3,0,0,-,2,5,40,1,4,5,1,0,0,0,2,9,13.5
Stephen Curry,GSW,GSW @ TOR,03/01/2024,W,30,25,9,22,40.9,7,15,46.7,0,0,-,2,4,6,6,0,0,4,2,12,37.2
James Harden,LAC,LAC vs. WAS,03/01/2024,W,25,28,9,13,69.2,6,9,66.7,4,4,100,1,3,4,8,0,3,3,1,19,50.8
Tyrese Maxey,PHI,PHI vs. CHA,03/01/2024,W,39,33,11,29,37.9,5,10,50,6,6,100,2,4,6,5,0,1,0,1,19,50.7
Giannis Antetokounmpo,MIL,MIL @ CHI,03/01/2024,W,37,46,16,22,72.7,2,3,66.7,12,16,75,5,11,16,6,1,1,1,3,6,79.2
Anthony Edwards,MIN,MIN vs. SAC,03/01/2024,L,19,11,2,11,18.2,1,3,33.3,6,6,100,0,2,2,2,0,1,1,0,-3,18.4
Jayson Tatum,BOS,BOS vs. DAL,03/01/2024,W,37,32,10,19,52.6,5,9,55.6,7,7,100,0,8,8,3,0,0,4,2,17,42.1
LeBron James,LAL,LAL vs. DEN,03/02/2024,L,37,26,12,20,60,2,5,40,0,2,0,0,4,4,9,3,0,3,1,-1,50.3
Kevin Durant,PHX,PHX vs. HOU,03/02/2024,L,39,30,12,19,63.2,1,4,25,5,8,62.5,2,7,9,2,0,3,6,1,-5,46.8
Stephen Curry,GSW,GSW @ BOS,03/03/2024,L,17,4,2,13,15.4,0,9,0,0,0,-,0,1,1,3,0,0,2,0,-29,7.7
James Harden,LAC,LAC @ MIN,03/03/2024,W,34,4,0,10,0,0,6,0,4,4,100,0,5,5,10,1,2,1,1,-10,33
Tyrese Maxey,PHI,PHI @ DAL,03/03/2024,W,39,24,8,15,53.3,1,5,20,7,7,100,0,2,2,3,2,0,4,4,5,32.9
Shai Gilgeous-Alexander,OKC,OKC @ PHX,03/03/2024,W,38,35,15,27,55.6,0,5,0,5,7,71.4,0,8,8,9,3,3,1,4,13,75.1
Anthony Edwards,MIN,MIN vs. LAC,03/03/2024,L,37,27,9,20,45,3,10,30,6,6,100,0,5,5,2,3,0,3,1,10,42
Kevin Durant,PHX,PHX vs. OKC,03/03/2024,L,36,20,6,15,40,2,4,50,6,6,100,0,4,4,3,1,1,5,2,-9,30.3
Jayson Tatum,BOS,BOS vs. GSW,03/03/2024,W,25,27,9,13,69.2,4,5,80,5,5,100,0,3,3,5,1,1,0,2,40,44.1
Jalen Brunson,NYK,NYK @ CLE,03/03/2024,W,1,0,0,1,0,0,0,-,0,0,-,0,0,0,0,0,0,0,0,-2,0
Victor Wembanyama,SAS,SAS vs. IND,03/03/2024,W,31,31,11,17,64.7,3,4,75,6,7,85.7,2,10,12,6,1,6,3,2,19,72.4
Wendell Carter Jr.,ORL,ORL vs. DET,03/03/2024,W,31,19,5,7,71.4,2,3,66.7,7,7,100,2,6,8,3,1,2,0,1,31,42.1
LeBron James,LAL,LAL vs. OKC,03/04/2024,W,31,19,7,14,50,1,3,33.3,4,5,80,1,10,11,8,1,0,3,1,14,44.2
James Harden,LAC,LAC @ MIL,03/04/2024,L,37,29,9,16,56.3,5,10,50,6,9,66.7,0,4,4,8,0,1,3,2,-4,45.8
Shai Gilgeous-Alexander,OKC,OKC @ LAL,03/04/2024,L,30,20,5,13,38.5,1,2,50,9,9,100,2,5,7,4,4,2,4,3,-9,48.4
Anthony Edwards,MIN,MIN vs. POR,03/04/2024,W,35,13,4,10,40,1,3,33.3,4,6,66.7,0,4,4,6,1,0,2,2,8,27.8
Kevin Durant,PHX,PHX @ DEN,03/05/2024,W,44,35,14,34,41.2,3,8,37.5,4,5,80,0,8,8,5,0,2,2,1,14,56.1
Jayson Tatum,BOS,BOS @ CLE,03/05/2024,L,38,26,8,21,38.1,5,9,55.6,5,6,83.3,2,11,13,2,0,0,2,3,-7,42.6
Victor Wembanyama,SAS,SAS @ HOU,03/05/2024,L,31,10,4,10,40,2,5,40,0,0,-,2,9,11,3,0,7,6,4,-12,42.7
Wendell Carter Jr.,ORL,ORL @ CHA,03/05/2024,W,29,12,5,7,71.4,2,4,50,0,0,-,4,5,9,1,1,0,1,1,0,26.3
LeBron James,LAL,LAL vs. SAC,03/06/2024,L,36,31,10,16,62.5,1,4,25,10,10,100,0,5,5,13,1,0,3,0,-3,56.5
Stephen Curry,GSW,GSW vs. MIL,03/06/2024,W,31,29,10,18,55.6,6,10,60,3,4,75,2,6,8,5,0,0,2,1,15,44.1
James Harden,LAC,LAC @ HOU,03/06/2024,W,39,21,6,13,46.2,1,5,20,8,8,100,0,5,5,7,1,1,2,2,8,41.5
Giannis Antetokounmpo,MIL,MIL @ GSW,03/06/2024,L,33,23,8,15,53.3,1,3,33.3,6,9,66.7,2,5,7,6,0,1,2,1,-6,41.4
Shai Gilgeous-Alexander,OKC,OKC @ POR,03/06/2024,W,36,37,13,23,56.5,0,3,0,11,12,91.7,0,3,3,5,1,1,4,2,3,50.1
Stephen Curry,GSW,GSW vs. CHI,03/07/2024,L,29,15,5,18,27.8,3,12,25,2,2,100,0,3,3,1,0,0,2,1,9,18.1
Anthony Edwards,MIN,MIN @ IND,03/07/2024,W,39,44,18,35,51.4,3,7,42.9,5,8,62.5,2,4,6,3,2,2,0,1,2,67.7
Kevin Durant,PHX,PHX vs. TOR,03/07/2024,W,35,35,11,19,57.9,2,5,40,11,12,91.7,0,3,3,1,1,0,4,1,8,39.1
Jayson Tatum,BOS,BOS @ DEN,03/07/2024,L,39,15,5,13,38.5,2,5,40,3,4,75,1,3,4,8,2,0,5,4,-2,32.8
Giannis Antetokounmpo,MIL,MIL @ LAL,03/08/2024,L,39,34,14,23,60.9,1,3,33.3,5,7,71.4,2,12,14,12,1,1,4,2,-4,70.8
Shai Gilgeous-Alexander,OKC,OKC vs. MIA,03/08/2024,W,36,37,13,25,52,2,7,28.6,9,11,81.8,0,5,5,6,1,2,1,2,17,60
Anthony Edwards,MIN,MIN @ CLE,03/08/2024,L,42,19,7,27,25.9,0,7,0,5,5,100,1,4,5,3,1,1,5,3,-20,30.5
Jalen Brunson,NYK,NYK vs. ORL,03/08/2024,W,29,26,11,19,57.9,4,7,57.1,0,0,-,0,3,3,2,0,0,1,2,23,31.6
Wendell Carter Jr.,ORL,ORL @ NYK,03/08/2024,L,25,7,2,8,25,2,4,50,1,2,50,7,2,9,2,0,2,3,2,-22,23.8
James Harden,LAC,LAC vs. CHI,03/09/2024,W,34,14,4,10,40,4,10,40,2,2,100,0,11,11,10,1,0,1,2,4,44.2
Kevin Durant,PHX,PHX vs. BOS,03/09/2024,L,37,45,18,26,69.2,4,7,57.1,5,7,71.4,1,9,10,6,1,0,6,2,-1,63
Jayson Tatum,BOS,BOS @ PHX,03/09/2024,W,42,29,11,28,39.3,5,9,55.6,2,2,100,3,7,10,7,1,0,4,0,4,50.5
LeBron James,LAL,LAL vs. MIN,03/10/2024,W,38,29,10,16,62.5,2,4,50,7,9,77.8,0,8,8,9,0,0,4,1,14,48.1
James Harden,LAC,LAC vs. MIL,03/10/2024,L,36,13,5,16,31.3,1,6,16.7,2,2,100,3,2,5,11,0,0,5,4,-13,30.5
Giannis Antetokounmpo,MIL,MIL @ LAC,03/10/2024,W,39,34,12,24,50,0,2,0,10,15,66.7,0,7,7,10,1,1,3,3,19,60.4
Shai Gilgeous-Alexander,OKC,OKC vs. MEM,03/10/2024,W,27,23,8,14,57.1,5,7,71.4,2,2,100,0,2,2,6,0,0,1,2,29,33.4
Anthony Edwards,MIN,MIN @ LAL,03/10/2024,L,40,25,10,23,43.5,2,9,22.2,3,4,75,1,6,7,7,2,2,3,2,-14,52.9
Jalen Brunson,NYK,NYK vs. PHI,03/10/2024,L,32,19,6,22,27.3,1,9,11.1,6,8,75,2,1,3,8,0,0,2,1,2,32.6
Wendell Carter Jr.,ORL,ORL vs. IND,03/10/2024,L,28,13,5,13,38.5,0,5,0,3,3,100,6,9,15,2,1,1,2,3,-14,38
Kevin Durant,PHX,PHX @ CLE,03/11/2024,W,39,37,14,26,53.8,5,10,50,4,5,80,0,8,8,6,1,0,3,2,13,55.6
Jayson Tatum,BOS,BOS @ POR,03/11/2024,W,36,26,9,23,39.1,2,8,25,6,8,75,0,5,5,8,0,0,1,0,16,43
Victor Wembanyama,SAS,SAS vs. GSW,03/11/2024,L,31,27,10,25,40,3,9,33.3,4,9,44.4,2,12,14,3,1,2,3,1,-1,54.3
James Harden,LAC,LAC vs. MIN,03/12/2024,L,34,12,4,10,40,2,6,33.3,2,2,100,0,2,2,7,2,0,4,1,-15,26.9
Tyrese Maxey,PHI,PHI @ NYK,03/12/2024,L,28,17,6,14,42.9,3,6,50,2,2,100,1,1,2,4,0,0,2,1,-29,23.4
Giannis Antetokounmpo,MIL,MIL @ SAC,03/12/2024,L,33,30,10,17,58.8,0,2,0,10,14,71.4,1,12,13,4,1,0,4,3,-18,50.6
Shai Gilgeous-Alexander,OKC,OKC vs. IND,03/12/2024,L,37,30,12,27,44.4,1,7,14.3,5,6,83.3,2,8,10,5,2,1,4,4,-9,54.5
Anthony Edwards,MIN,MIN @ LAC,03/12/2024,W,37,37,15,29,51.7,2,8,25,5,7,71.4,2,6,8,4,1,0,2,3,22,53.6
Jayson Tatum,BOS,BOS @ UTA,03/12/2024,W,34,38,13,25,52,4,10,40,8,8,100,2,4,6,2,0,1,3,3,8,48.2
Jalen Brunson,NYK,NYK vs. PHI,03/12/2024,W,27,20,7,12,58.3,4,8,50,2,3,66.7,0,4,4,9,1,0,1,0,24,40.3
Victor Wembanyama,SAS,SAS vs. HOU,03/12/2024,L,31,13,5,12,41.7,2,7,28.6,1,1,100,1,9,10,6,1,2,2,2,5,41
LeBron James,LAL,LAL @ SAC,03/13/2024,L,40,18,6,16,37.5,2,8,25,4,6,66.7,1,12,13,9,2,0,5,3,-10,48.1
Wendell Carter Jr.,ORL,ORL vs. BKN,03/13/2024,W,27,15,5,8,62.5,1,4,25,4,6,66.7,2,6,8,2,1,1,2,4,1,31.6
Tyrese Maxey,PHI,PHI @ MIL,03/14/2024,L,37,30,12,23,52.2,5,9,55.6,1,3,33.3,0,4,4,4,0,0,2,0,-8,38.8
Giannis Antetokounmpo,MIL,MIL vs. PHI,03/14/2024,W,37,32,9,12,75,0,0,-,14,18,77.8,4,7,11,7,1,0,7,4,-4,51.7
Shai Gilgeous-Alexander,OKC,OKC vs. DAL,03/14/2024,W,37,31,9,16,56.3,1,4,25,12,15,80,1,8,9,5,2,0,1,2,16,54.3
Kevin Durant,PHX,PHX @ BOS,03/14/2024,L,34,20,9,19,47.4,1,3,33.3,1,2,50,0,3,3,1,0,1,3,1,-17,25.1
Jayson Tatum,BOS,BOS vs. PHX,03/14/2024,W,33,26,10,18,55.6,4,8,50,2,3,66.7,1,4,5,5,0,0,3,3,26,36.5
Jalen Brunson,NYK,NYK @ POR,03/14/2024,W,38,45,14,30,46.7,2,10,20,15,17,88.2,1,0,1,4,1,1,5,0,17,53.2
Kevin Durant,PHX,PHX @ CHA,03/15/2024,W,38,13,5,15,33.3,1,6,16.7,2,2,100,0,8,8,5,1,0,3,1,-2,30.1
Victor Wembanyama,SAS,SAS vs. DEN,03/15/2024,L,33,17,4,12,33.3,1,5,20,8,9,88.9,4,5,9,2,2,3,4,5,-3,41.8
Wendell Carter Jr.,ORL,ORL @ TOR,03/15/2024,W,28,15,6,10,60,2,5,40,1,2,50,2,6,8,3,0,0,1,2,8,28.1
LeBron James,LAL,LAL vs. GSW,03/16/2024,L,38,40,15,23,65.2,3,5,60,7,8,87.5,3,5,8,9,1,1,4,1,-6,65.1
Stephen Curry,GSW,GSW @ LAL,03/16/2024,W,34,31,12,24,50,3,10,30,4,5,80,1,5,6,5,2,0,1,0,4,50.7
Tyrese Maxey,PHI,PHI vs. CHA,03/16/2024,W,40,30,8,20,40,3,9,33.3,11,12,91.7,0,3,3,4,0,0,2,2,15,37.6
Shai Gilgeous-Alexander,OKC,OKC @ MEM,03/16/2024,W,35,20,8,16,50,1,4,25,3,6,50,1,6,7,3,0,1,3,2,7,32.9
